user,num_ratings,Dataset
128.0,22,ML1M
129.0,158,ML1M
130.0,135,ML1M
131.0,295,ML1M
132.0,89,ML1M
133.0,170,ML1M
134.0,183,ML1M
135.0,70,ML1M
136.0,378,ML1M
137.0,201,ML1M
138.0,65,ML1M
139.0,245,ML1M
140.0,55,ML1M
141.0,23,ML1M
142.0,47,ML1M
143.0,68,ML1M
144.0,32,ML1M
145.0,39,ML1M
146.0,426,ML1M
147.0,187,ML1M
148.0,624,ML1M
149.0,592,ML1M
150.0,232,ML1M
151.0,471,ML1M
152.0,24,ML1M
153.0,26,ML1M
154.0,44,ML1M
155.0,96,ML1M
156.0,148,ML1M
157.0,427,ML1M
158.0,22,ML1M
159.0,36,ML1M
160.0,20,ML1M
161.0,297,ML1M
162.0,107,ML1M
163.0,514,ML1M
164.0,26,ML1M
165.0,110,ML1M
166.0,410,ML1M
167.0,58,ML1M
168.0,26,ML1M
169.0,552,ML1M
170.0,87,ML1M
171.0,24,ML1M
172.0,23,ML1M
173.0,561,ML1M
174.0,97,ML1M
175.0,317,ML1M
176.0,78,ML1M
177.0,44,ML1M
178.0,115,ML1M
179.0,110,ML1M
180.0,59,ML1M
181.0,301,ML1M
182.0,83,ML1M
183.0,101,ML1M
184.0,84,ML1M
185.0,51,ML1M
186.0,122,ML1M
187.0,417,ML1M
188.0,71,ML1M
189.0,31,ML1M
190.0,153,ML1M
191.0,30,ML1M
192.0,525,ML1M
193.0,242,ML1M
194.0,59,ML1M
195.0,822,ML1M
196.0,32,ML1M
197.0,22,ML1M
198.0,379,ML1M
199.0,402,ML1M
200.0,26,ML1M
201.0,87,ML1M
202.0,670,ML1M
203.0,127,ML1M
204.0,446,ML1M
205.0,153,ML1M
206.0,30,ML1M
207.0,23,ML1M
208.0,184,ML1M
209.0,25,ML1M
210.0,110,ML1M
211.0,35,ML1M
212.0,110,ML1M
213.0,22,ML1M
214.0,166,ML1M
215.0,34,ML1M
216.0,794,ML1M
217.0,20,ML1M
218.0,86,ML1M
219.0,36,ML1M
220.0,102,ML1M
221.0,29,ML1M
222.0,80,ML1M
223.0,256,ML1M
224.0,204,ML1M
225.0,508,ML1M
226.0,21,ML1M
227.0,28,ML1M
228.0,31,ML1M
229.0,212,ML1M
230.0,179,ML1M
231.0,97,ML1M
232.0,90,ML1M
233.0,53,ML1M
234.0,29,ML1M
235.0,440,ML1M
236.0,62,ML1M
237.0,166,ML1M
238.0,258,ML1M
239.0,71,ML1M
240.0,143,ML1M
241.0,57,ML1M
242.0,273,ML1M
243.0,33,ML1M
244.0,85,ML1M
245.0,764,ML1M
246.0,29,ML1M
247.0,31,ML1M
248.0,34,ML1M
249.0,110,ML1M
250.0,20,ML1M
251.0,73,ML1M
252.0,60,ML1M
253.0,53,ML1M
254.0,23,ML1M
255.0,244,ML1M
256.0,95,ML1M
257.0,53,ML1M
258.0,145,ML1M
259.0,139,ML1M
260.0,154,ML1M
261.0,354,ML1M
262.0,106,ML1M
263.0,92,ML1M
264.0,480,ML1M
265.0,98,ML1M
266.0,50,ML1M
267.0,131,ML1M
268.0,261,ML1M
269.0,30,ML1M
270.0,126,ML1M
271.0,312,ML1M
272.0,482,ML1M
273.0,187,ML1M
274.0,148,ML1M
275.0,89,ML1M
276.0,23,ML1M
277.0,22,ML1M
278.0,198,ML1M
279.0,47,ML1M
280.0,50,ML1M
281.0,111,ML1M
282.0,29,ML1M
283.0,27,ML1M
284.0,471,ML1M
285.0,139,ML1M
286.0,43,ML1M
287.0,103,ML1M
288.0,56,ML1M
289.0,74,ML1M
290.0,33,ML1M
291.0,102,ML1M
292.0,41,ML1M
293.0,317,ML1M
294.0,49,ML1M
295.0,191,ML1M
296.0,97,ML1M
297.0,89,ML1M
298.0,27,ML1M
299.0,104,ML1M
300.0,249,ML1M
301.0,357,ML1M
302.0,788,ML1M
303.0,209,ML1M
304.0,27,ML1M
305.0,157,ML1M
306.0,193,ML1M
307.0,182,ML1M
308.0,557,ML1M
309.0,123,ML1M
310.0,223,ML1M
311.0,20,ML1M
312.0,57,ML1M
313.0,26,ML1M
314.0,293,ML1M
315.0,22,ML1M
316.0,77,ML1M
317.0,21,ML1M
318.0,21,ML1M
319.0,721,ML1M
320.0,21,ML1M
321.0,222,ML1M
322.0,40,ML1M
323.0,118,ML1M
324.0,76,ML1M
325.0,43,ML1M
326.0,379,ML1M
327.0,236,ML1M
328.0,62,ML1M
329.0,764,ML1M
330.0,76,ML1M
331.0,584,ML1M
332.0,67,ML1M
333.0,227,ML1M
334.0,61,ML1M
335.0,148,ML1M
336.0,107,ML1M
337.0,198,ML1M
338.0,362,ML1M
339.0,124,ML1M
340.0,108,ML1M
341.0,20,ML1M
342.0,123,ML1M
343.0,297,ML1M
344.0,90,ML1M
345.0,25,ML1M
346.0,283,ML1M
347.0,99,ML1M
348.0,100,ML1M
349.0,268,ML1M
350.0,64,ML1M
351.0,103,ML1M
352.0,870,ML1M
353.0,24,ML1M
354.0,58,ML1M
355.0,419,ML1M
356.0,21,ML1M
357.0,58,ML1M
358.0,72,ML1M
359.0,49,ML1M
360.0,67,ML1M
361.0,26,ML1M
362.0,55,ML1M
363.0,43,ML1M
364.0,28,ML1M
365.0,47,ML1M
366.0,259,ML1M
367.0,28,ML1M
368.0,320,ML1M
369.0,87,ML1M
370.0,60,ML1M
371.0,78,ML1M
372.0,168,ML1M
373.0,27,ML1M
374.0,52,ML1M
375.0,51,ML1M
376.0,117,ML1M
377.0,136,ML1M
378.0,39,ML1M
379.0,64,ML1M
380.0,138,ML1M
381.0,35,ML1M
382.0,56,ML1M
383.0,21,ML1M
384.0,22,ML1M
385.0,137,ML1M
386.0,260,ML1M
387.0,68,ML1M
388.0,59,ML1M
389.0,73,ML1M
390.0,214,ML1M
391.0,81,ML1M
392.0,487,ML1M
393.0,74,ML1M
394.0,38,ML1M
395.0,23,ML1M
396.0,173,ML1M
397.0,34,ML1M
398.0,225,ML1M
399.0,32,ML1M
400.0,40,ML1M
401.0,78,ML1M
402.0,284,ML1M
403.0,280,ML1M
404.0,50,ML1M
405.0,49,ML1M
406.0,147,ML1M
407.0,32,ML1M
408.0,156,ML1M
409.0,297,ML1M
410.0,96,ML1M
411.0,635,ML1M
412.0,476,ML1M
413.0,99,ML1M
414.0,57,ML1M
415.0,271,ML1M
416.0,62,ML1M
417.0,22,ML1M
418.0,51,ML1M
419.0,108,ML1M
420.0,64,ML1M
421.0,20,ML1M
422.0,47,ML1M
423.0,64,ML1M
424.0,1226,ML1M
425.0,189,ML1M
426.0,239,ML1M
427.0,27,ML1M
428.0,50,ML1M
429.0,346,ML1M
430.0,63,ML1M
431.0,84,ML1M
432.0,73,ML1M
433.0,46,ML1M
434.0,43,ML1M
435.0,132,ML1M
436.0,133,ML1M
437.0,52,ML1M
438.0,602,ML1M
439.0,92,ML1M
440.0,29,ML1M
441.0,47,ML1M
442.0,423,ML1M
443.0,34,ML1M
444.0,120,ML1M
445.0,286,ML1M
446.0,51,ML1M
447.0,37,ML1M
448.0,23,ML1M
449.0,54,ML1M
450.0,51,ML1M
451.0,209,ML1M
452.0,132,ML1M
453.0,394,ML1M
454.0,266,ML1M
455.0,25,ML1M
456.0,157,ML1M
457.0,237,ML1M
458.0,43,ML1M
459.0,32,ML1M
460.0,47,ML1M
461.0,512,ML1M
462.0,177,ML1M
463.0,123,ML1M
464.0,82,ML1M
465.0,37,ML1M
466.0,199,ML1M
467.0,69,ML1M
468.0,26,ML1M
469.0,49,ML1M
470.0,68,ML1M
471.0,105,ML1M
472.0,45,ML1M
473.0,49,ML1M
474.0,318,ML1M
475.0,247,ML1M
476.0,431,ML1M
477.0,211,ML1M
478.0,46,ML1M
479.0,93,ML1M
480.0,107,ML1M
481.0,198,ML1M
482.0,825,ML1M
483.0,29,ML1M
484.0,34,ML1M
485.0,45,ML1M
486.0,39,ML1M
487.0,50,ML1M
488.0,25,ML1M
489.0,24,ML1M
490.0,77,ML1M
491.0,25,ML1M
492.0,32,ML1M
493.0,158,ML1M
494.0,191,ML1M
495.0,44,ML1M
496.0,119,ML1M
497.0,24,ML1M
498.0,172,ML1M
499.0,199,ML1M
500.0,101,ML1M
501.0,67,ML1M
502.0,24,ML1M
503.0,29,ML1M
504.0,108,ML1M
505.0,115,ML1M
506.0,90,ML1M
507.0,42,ML1M
508.0,149,ML1M
509.0,723,ML1M
510.0,99,ML1M
511.0,27,ML1M
512.0,37,ML1M
513.0,156,ML1M
514.0,79,ML1M
515.0,162,ML1M
516.0,294,ML1M
517.0,166,ML1M
518.0,253,ML1M
519.0,45,ML1M
520.0,314,ML1M
521.0,41,ML1M
522.0,58,ML1M
523.0,100,ML1M
524.0,1016,ML1M
525.0,40,ML1M
526.0,58,ML1M
527.0,25,ML1M
528.0,580,ML1M
529.0,122,ML1M
530.0,105,ML1M
531.0,867,ML1M
532.0,43,ML1M
533.0,591,ML1M
534.0,103,ML1M
535.0,21,ML1M
536.0,210,ML1M
537.0,98,ML1M
538.0,48,ML1M
539.0,132,ML1M
540.0,39,ML1M
541.0,190,ML1M
542.0,34,ML1M
543.0,671,ML1M
544.0,81,ML1M
545.0,29,ML1M
546.0,220,ML1M
547.0,78,ML1M
548.0,118,ML1M
549.0,1152,ML1M
550.0,967,ML1M
551.0,228,ML1M
552.0,97,ML1M
553.0,64,ML1M
554.0,43,ML1M
555.0,38,ML1M
556.0,232,ML1M
557.0,58,ML1M
558.0,291,ML1M
559.0,21,ML1M
560.0,137,ML1M
561.0,36,ML1M
562.0,37,ML1M
563.0,346,ML1M
564.0,50,ML1M
565.0,25,ML1M
566.0,534,ML1M
567.0,72,ML1M
568.0,25,ML1M
569.0,125,ML1M
570.0,237,ML1M
571.0,146,ML1M
572.0,20,ML1M
573.0,36,ML1M
574.0,21,ML1M
575.0,163,ML1M
576.0,57,ML1M
577.0,158,ML1M
578.0,28,ML1M
579.0,69,ML1M
580.0,46,ML1M
581.0,48,ML1M
582.0,78,ML1M
583.0,174,ML1M
584.0,38,ML1M
585.0,148,ML1M
586.0,35,ML1M
587.0,385,ML1M
588.0,453,ML1M
589.0,27,ML1M
590.0,166,ML1M
591.0,242,ML1M
592.0,23,ML1M
593.0,106,ML1M
594.0,159,ML1M
595.0,100,ML1M
596.0,42,ML1M
597.0,57,ML1M
598.0,38,ML1M
599.0,27,ML1M
600.0,23,ML1M
601.0,373,ML1M
602.0,154,ML1M
603.0,63,ML1M
604.0,287,ML1M
605.0,122,ML1M
606.0,33,ML1M
607.0,25,ML1M
608.0,170,ML1M
609.0,52,ML1M
610.0,126,ML1M
611.0,132,ML1M
612.0,50,ML1M
613.0,106,ML1M
614.0,54,ML1M
615.0,94,ML1M
616.0,44,ML1M
617.0,23,ML1M
618.0,45,ML1M
619.0,22,ML1M
620.0,179,ML1M
621.0,240,ML1M
622.0,57,ML1M
623.0,172,ML1M
624.0,372,ML1M
625.0,45,ML1M
626.0,72,ML1M
627.0,32,ML1M
628.0,52,ML1M
629.0,237,ML1M
630.0,118,ML1M
631.0,312,ML1M
632.0,34,ML1M
633.0,43,ML1M
634.0,67,ML1M
635.0,177,ML1M
636.0,86,ML1M
637.0,377,ML1M
638.0,114,ML1M
639.0,400,ML1M
640.0,21,ML1M
641.0,121,ML1M
642.0,27,ML1M
643.0,70,ML1M
644.0,108,ML1M
645.0,44,ML1M
646.0,254,ML1M
647.0,231,ML1M
648.0,177,ML1M
649.0,71,ML1M
650.0,38,ML1M
651.0,478,ML1M
652.0,132,ML1M
653.0,21,ML1M
654.0,185,ML1M
655.0,412,ML1M
656.0,177,ML1M
657.0,59,ML1M
658.0,93,ML1M
659.0,110,ML1M
660.0,703,ML1M
661.0,71,ML1M
662.0,127,ML1M
663.0,112,ML1M
664.0,158,ML1M
665.0,20,ML1M
666.0,103,ML1M
667.0,171,ML1M
668.0,36,ML1M
669.0,419,ML1M
670.0,90,ML1M
671.0,135,ML1M
672.0,47,ML1M
673.0,403,ML1M
674.0,79,ML1M
675.0,42,ML1M
676.0,390,ML1M
677.0,205,ML1M
678.0,999,ML1M
679.0,82,ML1M
680.0,35,ML1M
681.0,38,ML1M
682.0,75,ML1M
683.0,29,ML1M
684.0,38,ML1M
685.0,140,ML1M
686.0,27,ML1M
687.0,316,ML1M
688.0,36,ML1M
689.0,135,ML1M
690.0,180,ML1M
691.0,103,ML1M
692.0,631,ML1M
693.0,70,ML1M
694.0,40,ML1M
695.0,191,ML1M
696.0,401,ML1M
697.0,125,ML1M
698.0,270,ML1M
699.0,674,ML1M
700.0,32,ML1M
701.0,82,ML1M
702.0,479,ML1M
703.0,20,ML1M
704.0,74,ML1M
705.0,132,ML1M
706.0,151,ML1M
707.0,52,ML1M
708.0,20,ML1M
709.0,82,ML1M
710.0,885,ML1M
711.0,143,ML1M
712.0,282,ML1M
713.0,242,ML1M
714.0,422,ML1M
715.0,98,ML1M
716.0,392,ML1M
717.0,39,ML1M
718.0,169,ML1M
719.0,28,ML1M
720.0,233,ML1M
721.0,666,ML1M
722.0,55,ML1M
723.0,24,ML1M
724.0,157,ML1M
725.0,81,ML1M
726.0,73,ML1M
727.0,249,ML1M
728.0,167,ML1M
729.0,146,ML1M
730.0,53,ML1M
731.0,642,ML1M
732.0,175,ML1M
733.0,117,ML1M
734.0,44,ML1M
735.0,393,ML1M
736.0,114,ML1M
737.0,217,ML1M
738.0,33,ML1M
739.0,127,ML1M
740.0,37,ML1M
741.0,77,ML1M
742.0,42,ML1M
743.0,149,ML1M
744.0,297,ML1M
745.0,25,ML1M
746.0,424,ML1M
747.0,32,ML1M
748.0,81,ML1M
749.0,459,ML1M
750.0,56,ML1M
751.0,25,ML1M
752.0,1024,ML1M
753.0,218,ML1M
754.0,157,ML1M
755.0,126,ML1M
756.0,35,ML1M
757.0,465,ML1M
758.0,29,ML1M
759.0,97,ML1M
760.0,64,ML1M
761.0,20,ML1M
762.0,46,ML1M
763.0,26,ML1M
764.0,139,ML1M
765.0,402,ML1M
766.0,47,ML1M
767.0,170,ML1M
768.0,48,ML1M
769.0,67,ML1M
770.0,759,ML1M
771.0,26,ML1M
772.0,98,ML1M
773.0,49,ML1M
774.0,224,ML1M
775.0,23,ML1M
776.0,103,ML1M
777.0,502,ML1M
778.0,163,ML1M
779.0,48,ML1M
780.0,512,ML1M
781.0,234,ML1M
782.0,23,ML1M
783.0,119,ML1M
784.0,30,ML1M
785.0,106,ML1M
786.0,63,ML1M
787.0,117,ML1M
788.0,196,ML1M
789.0,115,ML1M
790.0,23,ML1M
791.0,328,ML1M
792.0,87,ML1M
793.0,150,ML1M
794.0,43,ML1M
795.0,149,ML1M
796.0,460,ML1M
797.0,83,ML1M
798.0,327,ML1M
799.0,40,ML1M
800.0,266,ML1M
801.0,285,ML1M
802.0,506,ML1M
803.0,52,ML1M
804.0,44,ML1M
805.0,73,ML1M
806.0,66,ML1M
807.0,33,ML1M
808.0,275,ML1M
809.0,94,ML1M
810.0,126,ML1M
811.0,65,ML1M
812.0,92,ML1M
813.0,67,ML1M
814.0,36,ML1M
815.0,29,ML1M
816.0,195,ML1M
817.0,398,ML1M
818.0,171,ML1M
819.0,62,ML1M
820.0,104,ML1M
821.0,21,ML1M
822.0,292,ML1M
823.0,121,ML1M
824.0,308,ML1M
825.0,42,ML1M
826.0,35,ML1M
827.0,22,ML1M
828.0,115,ML1M
829.0,138,ML1M
830.0,174,ML1M
831.0,57,ML1M
832.0,172,ML1M
833.0,21,ML1M
834.0,50,ML1M
835.0,28,ML1M
836.0,70,ML1M
837.0,69,ML1M
838.0,176,ML1M
839.0,774,ML1M
840.0,251,ML1M
841.0,26,ML1M
842.0,37,ML1M
843.0,126,ML1M
844.0,84,ML1M
845.0,52,ML1M
846.0,253,ML1M
847.0,62,ML1M
848.0,56,ML1M
849.0,117,ML1M
850.0,554,ML1M
851.0,76,ML1M
852.0,34,ML1M
853.0,110,ML1M
854.0,506,ML1M
855.0,630,ML1M
856.0,53,ML1M
857.0,70,ML1M
858.0,190,ML1M
859.0,153,ML1M
860.0,42,ML1M
861.0,80,ML1M
862.0,116,ML1M
863.0,62,ML1M
864.0,138,ML1M
865.0,42,ML1M
866.0,36,ML1M
867.0,44,ML1M
868.0,75,ML1M
869.0,842,ML1M
870.0,36,ML1M
871.0,43,ML1M
872.0,107,ML1M
873.0,172,ML1M
874.0,28,ML1M
875.0,84,ML1M
876.0,111,ML1M
877.0,633,ML1M
878.0,49,ML1M
879.0,40,ML1M
880.0,115,ML1M
881.0,914,ML1M
882.0,79,ML1M
883.0,36,ML1M
884.0,99,ML1M
885.0,64,ML1M
886.0,35,ML1M
887.0,96,ML1M
888.0,72,ML1M
889.0,1518,ML1M
890.0,228,ML1M
891.0,223,ML1M
892.0,34,ML1M
893.0,110,ML1M
894.0,70,ML1M
895.0,64,ML1M
896.0,64,ML1M
897.0,203,ML1M
898.0,24,ML1M
899.0,323,ML1M
900.0,26,ML1M
901.0,33,ML1M
902.0,25,ML1M
903.0,74,ML1M
904.0,246,ML1M
905.0,123,ML1M
906.0,21,ML1M
907.0,21,ML1M
908.0,39,ML1M
909.0,71,ML1M
910.0,163,ML1M
911.0,525,ML1M
912.0,43,ML1M
913.0,45,ML1M
914.0,61,ML1M
915.0,95,ML1M
916.0,55,ML1M
917.0,29,ML1M
918.0,144,ML1M
919.0,326,ML1M
920.0,78,ML1M
921.0,158,ML1M
922.0,343,ML1M
923.0,46,ML1M
924.0,199,ML1M
925.0,68,ML1M
926.0,105,ML1M
927.0,191,ML1M
928.0,212,ML1M
929.0,355,ML1M
930.0,98,ML1M
931.0,157,ML1M
932.0,20,ML1M
933.0,62,ML1M
934.0,498,ML1M
935.0,388,ML1M
936.0,88,ML1M
937.0,348,ML1M
938.0,31,ML1M
939.0,165,ML1M
940.0,130,ML1M
941.0,28,ML1M
942.0,25,ML1M
943.0,81,ML1M
944.0,45,ML1M
945.0,163,ML1M
946.0,33,ML1M
947.0,20,ML1M
948.0,517,ML1M
949.0,369,ML1M
950.0,55,ML1M
951.0,21,ML1M
952.0,157,ML1M
953.0,189,ML1M
954.0,126,ML1M
955.0,338,ML1M
956.0,108,ML1M
957.0,328,ML1M
958.0,158,ML1M
959.0,96,ML1M
960.0,128,ML1M
961.0,50,ML1M
962.0,51,ML1M
963.0,424,ML1M
964.0,78,ML1M
965.0,77,ML1M
966.0,165,ML1M
967.0,91,ML1M
968.0,61,ML1M
969.0,26,ML1M
970.0,549,ML1M
971.0,223,ML1M
972.0,35,ML1M
973.0,217,ML1M
974.0,60,ML1M
975.0,404,ML1M
976.0,55,ML1M
977.0,240,ML1M
978.0,44,ML1M
979.0,74,ML1M
980.0,135,ML1M
981.0,227,ML1M
982.0,51,ML1M
983.0,78,ML1M
984.0,694,ML1M
985.0,146,ML1M
986.0,22,ML1M
987.0,176,ML1M
988.0,73,ML1M
989.0,44,ML1M
990.0,102,ML1M
991.0,60,ML1M
992.0,31,ML1M
993.0,58,ML1M
994.0,39,ML1M
995.0,49,ML1M
996.0,296,ML1M
997.0,30,ML1M
998.0,135,ML1M
999.0,412,ML1M
1e3,84,ML1M
1001.0,377,ML1M
1002.0,66,ML1M
1003.0,29,ML1M
1004.0,481,ML1M
1005.0,92,ML1M
1006.0,44,ML1M
1007.0,32,ML1M
1008.0,50,ML1M
1009.0,52,ML1M
1010.0,1004,ML1M
1011.0,37,ML1M
1012.0,55,ML1M
1013.0,46,ML1M
1014.0,39,ML1M
1015.0,1286,ML1M
1016.0,151,ML1M
1017.0,521,ML1M
1018.0,122,ML1M
1019.0,928,ML1M
1020.0,88,ML1M
1021.0,131,ML1M
1022.0,146,ML1M
1023.0,41,ML1M
1024.0,43,ML1M
1025.0,33,ML1M
1026.0,44,ML1M
1027.0,46,ML1M
1028.0,61,ML1M
1029.0,256,ML1M
1030.0,171,ML1M
1031.0,155,ML1M
1032.0,103,ML1M
1033.0,194,ML1M
1034.0,337,ML1M
1035.0,91,ML1M
1036.0,50,ML1M
1037.0,38,ML1M
1038.0,148,ML1M
1039.0,28,ML1M
1040.0,259,ML1M
1041.0,85,ML1M
1042.0,45,ML1M
1043.0,36,ML1M
1044.0,144,ML1M
1045.0,37,ML1M
1046.0,26,ML1M
1047.0,76,ML1M
1048.0,41,ML1M
1049.0,36,ML1M
1050.0,564,ML1M
1051.0,862,ML1M
1052.0,67,ML1M
1053.0,335,ML1M
1054.0,127,ML1M
1055.0,78,ML1M
1056.0,76,ML1M
1057.0,179,ML1M
1058.0,357,ML1M
1059.0,513,ML1M
1060.0,80,ML1M
1061.0,51,ML1M
1062.0,194,ML1M
1063.0,100,ML1M
1064.0,103,ML1M
1065.0,88,ML1M
1066.0,122,ML1M
1067.0,96,ML1M
1068.0,597,ML1M
1069.0,609,ML1M
1070.0,21,ML1M
1071.0,143,ML1M
1072.0,105,ML1M
1073.0,116,ML1M
1074.0,192,ML1M
1075.0,41,ML1M
1076.0,41,ML1M
1077.0,309,ML1M
1078.0,127,ML1M
1079.0,121,ML1M
1080.0,54,ML1M
1081.0,34,ML1M
1082.0,57,ML1M
1083.0,26,ML1M
1084.0,180,ML1M
1085.0,35,ML1M
1086.0,312,ML1M
1087.0,392,ML1M
1088.0,1176,ML1M
1089.0,72,ML1M
1090.0,73,ML1M
1091.0,33,ML1M
1092.0,51,ML1M
1093.0,70,ML1M
1094.0,164,ML1M
1095.0,36,ML1M
1096.0,268,ML1M
1097.0,168,ML1M
1098.0,32,ML1M
1099.0,188,ML1M
1100.0,508,ML1M
1101.0,518,ML1M
1102.0,27,ML1M
1103.0,60,ML1M
1104.0,54,ML1M
1105.0,161,ML1M
1106.0,64,ML1M
1107.0,78,ML1M
1108.0,44,ML1M
1109.0,205,ML1M
1110.0,49,ML1M
1111.0,33,ML1M
1112.0,679,ML1M
1113.0,319,ML1M
1114.0,134,ML1M
1115.0,109,ML1M
1116.0,142,ML1M
1117.0,754,ML1M
1118.0,30,ML1M
1119.0,395,ML1M
1120.0,735,ML1M
1121.0,289,ML1M
1122.0,114,ML1M
1123.0,30,ML1M
1124.0,389,ML1M
1125.0,580,ML1M
1126.0,21,ML1M
1127.0,131,ML1M
1128.0,498,ML1M
1129.0,103,ML1M
1130.0,279,ML1M
1131.0,103,ML1M
1132.0,163,ML1M
1133.0,168,ML1M
1134.0,150,ML1M
1135.0,172,ML1M
1136.0,56,ML1M
1137.0,564,ML1M
1138.0,89,ML1M
1139.0,182,ML1M
1140.0,374,ML1M
1141.0,466,ML1M
1142.0,263,ML1M
1143.0,53,ML1M
1144.0,22,ML1M
1145.0,57,ML1M
1146.0,378,ML1M
1147.0,333,ML1M
1148.0,59,ML1M
1149.0,89,ML1M
1150.0,1302,ML1M
1151.0,308,ML1M
1152.0,149,ML1M
1153.0,76,ML1M
1154.0,24,ML1M
1155.0,182,ML1M
1156.0,72,ML1M
1157.0,22,ML1M
1158.0,64,ML1M
1159.0,121,ML1M
1160.0,107,ML1M
1161.0,95,ML1M
1162.0,156,ML1M
1163.0,64,ML1M
1164.0,458,ML1M
1165.0,141,ML1M
1166.0,26,ML1M
1167.0,70,ML1M
1168.0,233,ML1M
1169.0,118,ML1M
1170.0,258,ML1M
1171.0,28,ML1M
1172.0,443,ML1M
1173.0,361,ML1M
1174.0,24,ML1M
1175.0,72,ML1M
1176.0,126,ML1M
1177.0,79,ML1M
1178.0,36,ML1M
1179.0,234,ML1M
1180.0,37,ML1M
1181.0,1521,ML1M
1182.0,364,ML1M
1183.0,186,ML1M
1184.0,278,ML1M
1185.0,90,ML1M
1186.0,206,ML1M
1187.0,31,ML1M
1188.0,31,ML1M
1189.0,25,ML1M
1190.0,27,ML1M
1191.0,105,ML1M
1192.0,29,ML1M
1193.0,276,ML1M
1194.0,649,ML1M
1195.0,96,ML1M
1196.0,112,ML1M
1197.0,24,ML1M
1198.0,102,ML1M
1199.0,179,ML1M
1200.0,39,ML1M
1201.0,66,ML1M
1202.0,520,ML1M
1203.0,741,ML1M
1204.0,136,ML1M
1205.0,85,ML1M
1206.0,141,ML1M
1207.0,618,ML1M
1208.0,48,ML1M
1209.0,221,ML1M
1210.0,39,ML1M
1211.0,397,ML1M
1212.0,69,ML1M
1213.0,24,ML1M
1214.0,46,ML1M
1215.0,115,ML1M
1216.0,213,ML1M
1217.0,51,ML1M
1218.0,235,ML1M
1219.0,224,ML1M
1220.0,195,ML1M
1221.0,221,ML1M
1222.0,68,ML1M
1223.0,146,ML1M
1224.0,578,ML1M
1225.0,28,ML1M
1226.0,21,ML1M
1227.0,154,ML1M
1228.0,251,ML1M
1229.0,30,ML1M
1230.0,253,ML1M
1231.0,110,ML1M
1232.0,135,ML1M
1233.0,61,ML1M
1234.0,24,ML1M
1235.0,50,ML1M
1236.0,24,ML1M
1237.0,30,ML1M
1238.0,45,ML1M
1239.0,88,ML1M
1240.0,30,ML1M
1241.0,194,ML1M
1242.0,616,ML1M
1243.0,368,ML1M
1244.0,543,ML1M
1245.0,36,ML1M
1246.0,572,ML1M
1247.0,36,ML1M
